id, idGeneratore, idProiezione, idFilm, data, prezzo, postoAssegnato
200, 5, 21, 13, 22-02-2033 12:12:31, 10.50, 21: 12; 22: 12;
201,2121,2129,203,22-02-2022 12:12:31,64.5,7:7; 6:7; 7:6;
202,2121,2128,203,22-02-2022 12:12:31,43.0,3:5; 3:6;
203,2121,2129,203,22-02-2022 12:12:31,43.0,7:5; 8:5;
207,2121,2125,201,22-02-2022 12:12:31,43.0,3:7; 3:6;
208,2121,2130,201,22-02-2022 12:12:31,43.0,4:7; 4:6;
209,2121,2131,204,22-02-2022 12:12:31,43.0,4:7; 4:6;
210,2121,2131,201,09-06-2022 18:12:31,43.0,5:5; 4:5;
212,2121,2131,201,09-06-2022 18:12:31,43.0,3:7; 3:6;
217,2121,2146,213,17-06-2022 23:55:55,15.0,0:1; 0:0;
218,2121,2146,213,17-06-2022 23:55:55,7.5,1:1;
219,2121,2146,213,17-06-2022 23:55:55,7.5,1:0;
220,2121,2146,213,17-06-2022 23:55:55,15.0,0:1; 0:0;
221,2121,2161,216,20-06-2022 18:30:00,15.0,0:0; 0:1;
222,2135,2169,216,24-06-2022 18:30:00,15.0,0:1; 0:0;
223,2135,2166,216,22-06-2022 22:30:00,15.0,0:1; 0:0;
224,2121,2169,216,24-06-2022 18:30:00,7.5,1:0;
225,2135,2171,216,24-06-2022 18:30:00,15.0,0:1; 1:0;
226,2135,2172,216,25-06-2022 22:30:00,15.0,0:1; 0:0;
227,2135,2199,224,30-06-2022 18:30:00,45.0,2:4; 2:5; 2:3; 1:3; 1:4; 1:5;
